Country;CountryID;Continent;Gross national income per capita (PPP international $);Population (in thousands) total;Population annual growth rate (%);Population in urban areas (%);"Population living below the poverty line (% living on &lt; US$1 per day)";Population median age (years);Population proportion over 60 (%);Population proportion under 15 (%);Age-standardized mortality rate for cancer (per 100 000 population);Age-standardized mortality rate for cardiovascular diseases (per 100 000 population);Age-standardized mortality rate for injuries (per 100 000 population);Age-standardized mortality rate for non-communicable diseases (per 100 000 population);Cell_phones_per_100_people;Cell_phones_total;Infant_mortality_rate;Malnutrition_weight_for_age
Afghanistan;1;1;;26088;4;23;;16;4;47;153;706;134;1269;4;600000;165;
Albania;2;2;6000;3172;0.6;46;2;29;13;26;154;537;64;814;48.9;1100000;16;17
Algeria;3;3;5940;33351;1.5;64;;24;7;29;103;314;85;598;41.5;4682690;34;10.2
Andorra;4;2;;74;1;93;;;22;14;126;125;31;369;;;;
Angola;5;3;3890;16557;2.8;54;;17;4;46;179;486;231;982;10.3;940000;154;27.5
Antigua and Barbuda;6;4;15130;84;1.3;37;;;11;28;144;343;35;717;105.5;47250;11;
Argentina;7;5;11670;39134;1;90;6.6;29;14;26;142;212;52;521;57.4;1.35E+07;14;2.3
Armenia;8;2;4950;3010;-0.3;64;2;32;14;20;146;498;39;800;10.5;203309;23;4.2
Australia;9;6;33940;20530;1.1;88;;37;18;19;127;140;35;362;91.4;1.64E+07;5;
Austria;10;2;36040;8327;0.4;66;;40;22;16;127;204;38;406;105.8;7989955;4;
Azerbaijan;11;2;5430;8406;0.6;52;3.7;28;9;24;113;613;29;892;26.7;1782900;74;14
Bahamas;12;4;;327;1.2;91;;28;10;27;112;222;73;490;70.5;186007;;
Bahrain;13;1;34310;739;1.9;97;;29;5;26;127;312;37;746;103;649764;9;
Bangladesh;14;7;1230;155991;1.8;25;41.3;22;6;35;111;428;101;762;6.3;4327516;54;39.2
Barbados;15;4;15150;293;0.3;53;;36;13;18;135;245;30;535;76.7;200138;11;
Belarus;16;2;9700;9742;-0.5;73;2;38;18;15;143;592;154;839;42;1118000;12;
Belgium;17;2;33860;10430;0.3;97;;41;22;17;148;162;45;427;90;9131705;4;
Belize;18;5;7080;282;2.2;48;;21;6;37;147;317;79;651;44.3;97755;15;
Benin;19;3;1250;8760;3.1;40;30.9;18;4;44;154;432;116;852;10;236175;89;21.5
Bermuda;20;4;;;;;;;;;;;;;82.2;42875;;
Bhutan;21;7;4000;649;1.8;11;;23;7;32;112;441;112;771;4.7;17800;65;14.1
Bolivia;22;5;3810;9354;1.9;65;23.2;21;7;38;256;260;80;824;26.4;1800789;52;5.9
Bosnia and Herzegovina;23;2;6780;3926;0.3;46;;38;19;17;121;492;43;699;40.8;1050000;13;4.2
Botswana;24;3;11730;1858;1.2;58;;21;5;35;124;338;72;653;46.6;563782;87;10.7
Brazil;25;5;8700;189323;1.3;85;7.5;27;9;28;142;341;81;712;46.3;6.56E+07;20;3.7
